fighter_name,first_name,last_name,nickname,fighter_url,height,weight,reach,stance,wins,losses,draws
Rafael Alves,Rafael,Alves,The Turn,http://www.ufcstats.com/fighter-details/029afd138865d20a,"5' 8""",155 lbs.,"68.0""",Orthodox,20,12,0
Sam Alvey,Sam,Alvey,Smile'N,http://www.ufcstats.com/fighter-details/d156513a19acf856,"6' 2""",185 lbs.,"75.0""",Southpaw,33,18,1
Christopher Alvidrez,Christopher,Alvidrez,The Newborn,http://www.ufcstats.com/fighter-details/f4abf9aeda861283,"6' 0""",170 lbs.,"74.0""",Orthodox,7,1,0
Mahamed Aly,Mahamed,Aly,,http://www.ufcstats.com/fighter-details/86c1441676af2c73,"6' 2""",205 lbs.,"78.0""",Orthodox,4,1,0
Andre Amado,Andre,Amado,Dida,http://www.ufcstats.com/fighter-details/20821819c401ced8,"6' 0""",154 lbs.,--,Orthodox,6,4,1
Adlan Amagov,Adlan,Amagov,Borz,http://www.ufcstats.com/fighter-details/1e327b281ef6a745,"6' 2""",170 lbs.,"76.0""",Orthodox,14,2,1
Maiara Amanajas dos Santos,Maiara,Amanajas dos Santos,,http://www.ufcstats.com/fighter-details/247fbbfafea60bb1,"5' 5""",115 lbs.,--,Southpaw,7,3,0
Chris Amarante,Chris,Amarante,,http://www.ufcstats.com/fighter-details/ee0b69e307c857e5,--,185 lbs.,--,,2,0,0
Jimmy Ambriz,Jimmy,Ambriz,The Titan,http://www.ufcstats.com/fighter-details/c912f676692c353a,"6' 2""",315 lbs.,--,Southpaw,17,21,1
JJ Ambrose,JJ,Ambrose,,http://www.ufcstats.com/fighter-details/d562b12b8fe88336,"5' 10""",170 lbs.,--,Orthodox,28,7,0
Alen Amedovski,Alen,Amedovski,,http://www.ufcstats.com/fighter-details/70fa1c64a2c439ef,"5' 10""",185 lbs.,"74.0""",Orthodox,8,4,0
Hyder Amil,Hyder,Amil,The Hurricane,http://www.ufcstats.com/fighter-details/41cc71cbf210e0fe,"5' 9""",145 lbs.,"70.0""",Switch,11,2,0
Hamid Amiri,Hamid,Amiri,The Storm,http://www.ufcstats.com/fighter-details/6c40705cf6c0d7e2,--,145 lbs.,--,,9,0,0
Makwan Amirkhani,Makwan,Amirkhani,Mr. Finland,http://www.ufcstats.com/fighter-details/87a1dc546b1c5caf,"5' 10""",145 lbs.,"72.0""",Southpaw,17,9,0
Jaqueline Amorim,Jaqueline,Amorim,,http://www.ufcstats.com/fighter-details/bc7d1ad49fcb2d08,"5' 3""",115 lbs.,"68.0""",Orthodox,10,2,0
Yaroslav Amosov,Yaroslav,Amosov,,http://www.ufcstats.com/fighter-details/f139d6836efd43dd,"6' 0""",170 lbs.,"75.0""",Orthodox,29,1,0
Bertrand Amoussou,Bertrand,Amoussou,,http://www.ufcstats.com/fighter-details/53adf5b845d91e4a,"5' 8""",190 lbs.,--,Orthodox,1,1,0
Karl Amoussou,Karl,Amoussou,The Psycho,http://www.ufcstats.com/fighter-details/23a8c33869bf5392,"5' 11""",185 lbs.,--,Orthodox,27,7,2
Eryk Anders,Eryk,Anders,Ya Boi,http://www.ufcstats.com/fighter-details/cad24459b28592ca,"6' 1""",185 lbs.,"75.0""",Southpaw,18,9,0
Matt Andersen,Matt,Andersen,,http://www.ufcstats.com/fighter-details/8738eacd62e82a32,"6' 2""",230 lbs.,--,Southpaw,14,8,1
Andy Anderson,Andy,Anderson,The Hammer,http://www.ufcstats.com/fighter-details/9199e0735b83dd32,"5' 6""",240 lbs.,--,,0,1,0
Lowell Anderson,Lowell,Anderson,,http://www.ufcstats.com/fighter-details/1ffc38f67785797b,"5' 6""",160 lbs.,--,Orthodox,0,1,0
Corey Anderson,Corey,Anderson,Overtime,http://www.ufcstats.com/fighter-details/5e4eec08896c9423,"6' 3""",205 lbs.,"79.0""",Orthodox,14,5,0
Derek Anderson,Derek,Anderson,Barbaric,http://www.ufcstats.com/fighter-details/19ba965651486013,"6' 0""",155 lbs.,--,,14,3,0
Megan Anderson,Megan,Anderson,,http://www.ufcstats.com/fighter-details/a0e75f4a13eb73f1,"6' 0""",145 lbs.,"72.0""",Orthodox,11,5,0
